Date,Open,High,Low,Close,Adj Close,Volume
2019-12-05,53.900002,54.250000,53.700001,53.849998,51.706314,7308357
2019-12-06,54.410000,54.480000,53.459999,53.560001,51.427849,18838951
2019-12-09,53.680000,54.430000,52.730000,53.439999,51.312634,12015497
2019-12-10,53.560001,54.869999,53.520000,54.740002,52.560879,13319375
2019-12-11,54.630001,55.360001,54.630001,55.139999,52.944950,13666791
2019-12-13,55.410000,56.480000,55.410000,55.619999,53.405842,13185907
2019-12-16,55.560001,55.810001,54.029999,54.220001,52.061584,16100661
2019-12-17,54.439999,56.279999,54.360001,56.189999,53.953156,20581846
2019-12-18,56.290001,57.070000,55.700001,56.889999,54.625290,16225909
2019-12-19,56.980000,56.990002,55.270000,55.509998,53.300224,11932913
2019-12-20,55.380001,57.189999,55.380001,56.970001,54.702106,38363635
2019-12-23,57.000000,57.000000,55.160000,55.349998,53.146587,8521716
2019-12-24,55.349998,55.439999,55.099998,55.360001,53.156204,749178
2019-12-26,55.320000,55.470001,55.000000,55.320000,53.117786,2506147
2019-12-27,55.389999,55.680000,55.009998,55.639999,53.425053,3801338
2019-12-30,55.700001,55.709999,54.040001,54.180000,52.023170,4457737
2019-12-31,54.180000,54.180000,54.180000,54.180000,52.023170,0
2020-01-02,54.200001,55.330002,53.880001,55.119999,52.925747,7718655
2020-01-03,55.049999,55.290001,54.349998,54.689999,52.512875,14207686
2020-01-06,54.509998,55.689999,54.220001,55.275002,53.074581,14180785
2020-01-07,55.259998,55.570000,54.590000,54.980000,52.791325,16292401
2020-01-08,54.980000,55.990002,54.599998,55.709999,53.492260,10485032
2020-01-09,55.009998,55.709999,54.410000,55.570000,53.357841,26585573
2020-01-10,55.709999,56.320000,55.590000,56.169998,53.933952,14116992
2020-01-13,56.240002,57.119999,55.939999,56.630001,54.375641,14433223
2020-01-14,56.410000,56.840000,55.810001,56.680000,54.423649,14745180
2020-01-15,56.680000,56.779999,56.320000,56.470001,54.222012,13995660
2020-01-16,56.590000,57.490002,56.310001,57.349998,55.066975,14537457
2020-01-17,57.349998,58.299999,57.009998,58.119999,55.806324,13559485
2020-01-20,58.070000,58.480000,57.970001,58.220001,55.902344,3411487
2020-01-21,58.000000,58.490002,57.209999,58.160000,55.844734,15537916
2020-01-22,58.290001,58.500000,56.490002,56.610001,54.356441,12734134
2020-01-23,56.540001,57.290001,56.520000,57.130001,54.855736,17133103
2020-01-24,57.189999,57.189999,56.500000,56.840000,54.577282,15398978
2020-01-27,56.599998,56.599998,54.860001,54.889999,52.704910,7954694
2020-01-28,55.029999,56.310001,55.029999,55.939999,53.713112,8435567
2020-01-29,55.849998,56.180000,55.610001,56.000000,53.770721,7489422
2020-01-30,56.099998,56.520000,55.610001,56.130001,53.895546,8130779
2020-01-31,56.060001,56.439999,54.470001,55.220001,53.021770,54760948
